,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,popularity,uri,title,artist,top genre,year,target
1131,0.7859999999999999,0.3,133.967,0.264,0.0008289999999999999,0.0,4,0.9490000000000001,8,172148,-6.43,0.49700000000000005,1,audio_features,56,spotify:track:0nWDgFps67oDM01swzHCcC,Shake That,Megan Thee Stallion,houston rap,2019,0
1132,0.748,0.14800000000000002,176.953,0.43,0.0215,0.0,4,0.8290000000000001,5,197954,-4.626,0.81,0,audio_features,54,spotify:track:2I6m7c5IfPR7za6B1im2X7,Money Good,Megan Thee Stallion,houston rap,2019,0
1133,0.718,0.115,90.023,0.235,0.0312,0.0,4,0.779,11,134048,-4.749,0.564,1,audio_features,48,spotify:track:1BCl2F1YECc7pYMjztGiEi,Ratchet,Megan Thee Stallion,houston rap,2019,0
1134,0.763,0.107,139.961,0.39799999999999996,0.147,0.0,4,0.9059999999999999,0,131209,-6.322,0.58,1,audio_features,73,spotify:track:6hbg57wH6SyIDnPzwLeeXc,Sex Talk,Megan Thee Stallion,houston rap,2019,0
1135,0.8590000000000001,0.121,140.014,0.162,0.0115,0.0,4,0.88,7,207773,-6.202000000000001,0.8059999999999999,1,audio_features,46,spotify:track:4pBwO9kI4RnsydbPb8Z9Mn,Big Drank,Megan Thee Stallion,houston rap,2019,0
1136,0.897,0.239,92.975,0.11900000000000001,0.00825,0.0,4,0.917,10,124803,-2.2969999999999997,0.31,0,audio_features,53,spotify:track:1YU0fHUCpUyxkWqxx9ivHK,Running Up Freestyle,Megan Thee Stallion,houston rap,2019,0
1137,0.885,0.34,100.01,0.0713,0.0558,0.0266,4,0.809,2,219280,-4.249,0.691,0,audio_features,11,spotify:track:7gXexvrL88BOszCB4sPEwp,Skaci,Djogani,narodna muzika,2006,0
1138,0.775,0.0965,118.954,0.037000000000000005,0.0465,0.0,4,0.785,9,191253,-4.658,0.955,1,audio_features,19,spotify:track:3rwLjpjjr1r6ghTM5M4qbS,Idemo na Mars,Djogani,narodna muzika,2006,0
1139,0.937,0.161,95.035,0.10099999999999999,0.0852,0.0,4,0.809,5,216427,-4.167,0.812,1,audio_features,29,spotify:track:45wgefiAm1CxqiETgO2Vn9,Cekaj me kod kolima,Djogani,narodna muzika,2006,0
1140,0.8140000000000001,0.0832,103.035,0.0441,0.107,0.0,4,0.7909999999999999,7,240600,-2.878,0.966,0,audio_features,27,spotify:track:6bTT8gXsFbULV3Iyf9K0it,Ozeni me,Djogani,narodna muzika,2006,0
1141,0.922,0.052000000000000005,139.998,0.0509,0.0536,2.26e-05,4,0.8029999999999999,11,226480,-5.261,0.789,0,audio_features,18,spotify:track:6j0KTcyy7Wd18J4dAWpzFj,Na silu,Djogani,narodna muzika,2006,0
1142,0.895,0.0479,107.00299999999999,0.0749,0.0532,0.0,4,0.813,9,203013,-2.656,0.8690000000000001,0,audio_features,44,spotify:track:1aes4mazafonyHZpxRlf4H,Nema vise cile mile,Djogani,narodna muzika,2006,0
1143,0.985,0.257,100.01,0.135,0.251,0.0,4,0.8440000000000001,0,195987,-3.245,0.961,1,audio_features,29,spotify:track:5zXZ5Fj4Xt7KNxeoBNRjWr,Kralj diskoteka,Djogani,narodna muzika,2006,0
1144,0.9129999999999999,0.0836,154.005,0.0505,0.23800000000000002,2.73e-06,4,0.706,10,225747,-3.804,0.89,0,audio_features,22,spotify:track:7GShtxAfuhjDUR8DXdijGg,Jagode sa slagom,Djogani,narodna muzika,2006,0
1145,0.888,0.11,137.986,0.0569,0.00118,0.000252,4,0.708,6,226640,-6.904,0.815,0,audio_features,8,spotify:track:5kGx0PnqlrLiTMcEb9eche,"Kao, kao",Djogani,narodna muzika,2006,0
